movie,ratings
303,4.0
372,3.0
531,4.0
1029,3.0
1042,3.5
1347,3.0
1967,4.5
2108,4.0
2140,4.5
2145,4.0
2605,4.5
2881,4.0
2915,4.5
2968,4.0
3107,3.0
3361,4.0
4361,4.0
110,4.0
147,1.0
802,2.0
1221,4.0
1270,4.0
2383,3.0
2396,3.0
2505,4.0
2541,5.0
2542,4.0
2571,5.0
2580,4.0
2700,5.0
2728,3.0
36,5.0
266,2.5
350,3.0
368,1.0
410,0.5
442,1.5
509,4.0
594,3.0
708,2.0
919,4.5
1060,5.0
1089,4.0
1213,5.0
1307,4.5
1527,3.0
1584,3.0
1610,1.5
1923,5.0
1961,5.0
2683,3.5
2987,1.5
2997,4.0
4262,5.0
5669,2.0
5954,4.5
6870,5.0
7160,5.0
8366,2.0
8376,3.5
8464,2.0
27873,1.0
94,4.0
147,3.0
261,4.0
356,4.0
908,4.0
968,3.0
1270,4.0
1911,2.0
2858,3.0
3225,4.0
3317,4.0
3325,3.0
3512,2.0
3534,3.0
3536,4.0
3646,3.0
3751,2.0
3893,3.0
3897,5.0
3977,3.0
4015,3.0
4018,4.0
4023,5.0
4027,1.0
4068,3.0
4069,5.0
4161,3.0
4247,3.0
4639,4.0
4718,5.0
262,3.5
520,2.0
531,4.0
552,3.5
899,4.5
917,4.0
952,3.5
1031,3.0
1277,4.0
1302,2.5
1947,3.5
2565,4.5
2719,0.5
3255,4.0
4006,3.0
8580,4.5
26528,3.0
50,4.0
203,5.0
207,4.0
477,3.0
613,4.0
912,4.0
1197,4.0
1513,2.0
1962,3.0
2052,3.0
2245,2.0
2622,2.0
2724,3.0
3479,4.0
3821,2.0
3844,5.0
4069,2.0
5618,5.0
266,4.0
737,3.0
902,4.0
920,5.0
1092,4.0
2315,2.0
2349,5.0
3072,5.0
1097,4.0
1197,5.0
2028,4.0
2390,4.0
2628,3.0
3072,5.0
63,4.0
73,4.0
193,4.0
231,5.0
362,3.5
1188,3.0
1321,2.0
1537,3.0
1753,4.0
1923,4.0
2808,2.0
3248,1.0
3440,3.0
5400,3.0
5572,4.5
6188,5.0
34162,4.5
1275,3.0
1587,3.5
1727,2.5
1924,4.0
2076,4.0
2105,3.5
2772,4.0
3300,3.0
3476,2.5
3703,3.0
3752,4.0
8950,4.5
44195,3.5
924,4.0
1270,5.0
2300,4.0
3101,4.0
260,5.0
480,3.0
736,5.0
835,5.0
924,3.0
1018,4.0
1127,4.0
1196,5.0
1214,4.0
1270,4.0
2038,4.0
2530,2.0
2571,3.0
2641,3.0
2770,4.0
3269,4.0
150,4.0
153,2.0
165,4.0
168,3.0
204,5.0
251,4.0
315,3.0
344,3.0
349,5.0
380,5.0
588,3.0
590,3.0
592,2.0
50,4.5
69,3.0
1089,4.5
1617,4.5
2571,4.0
2959,4.0
4351,2.0
5283,4.0
5618,4.0
5785,4.0
6754,3.5
8948,3.0
37727,2.0
38061,4.5
318,4.5
527,4.0
741,5.0
2571,4.5
2617,5.0
2644,4.0
3000,5.0
3615,5.0
3668,4.0
5618,5.0
5971,4.5
6197,3.5
6297,4.5
6350,4.0
6377,4.5
31658,4.5
60,3.5
327,3.5
362,3.5
616,4.0
2485,2.5
2739,4.0
3186,5.0
3608,4.0
4447,1.0
15,1.0
69,3.0
110,5.0
208,2.0
780,5.0
1210,5.0
1270,5.0
1895,4.0
1917,3.0
1923,5.0
2011,5.0
2012,4.0
2028,5.0
2485,1.0
2500,1.0
2541,5.0
2571,5.0
2978,3.0
3593,1.0
3702,5.0
3901,1.0
3967,1.0
3988,5.0
3994,4.0
145,4.0
150,5.0
160,4.0
165,5.0
185,4.0
203,3.0
208,4.0
218,1.0
225,5.0
227,4.0
231,5.0
234,3.0
252,3.0
253,4.0
256,4.0
316,4.0
329,4.0
337,2.0
344,3.0
349,5.0
380,5.0
410,2.0
432,4.0
434,4.0
435,4.0
592,3.0
348,3.5
468,4.5
852,2.5
913,3.0
1204,4.5
1276,4.5
1370,4.5
1371,3.0
1597,4.5
2001,3.0
2006,1.5
2100,3.5
3418,3.5
3481,4.5
3996,2.0
5060,1.5
5,5.0
7,3.0
11,4.0
14,4.0
17,5.0
25,1.0
36,5.0
52,4.0
58,5.0
79,4.0
105,5.0
116,4.0
135,5.0
140,3.0
141,5.0
640,4.0
785,2.0
968,3.0
1270,5.0
1334,5.0
1382,4.0
2038,5.0
2120,4.0
2371,3.0
2490,3.0
2574,4.0
2600,4.0
2699,4.0
2716,4.0
2734,4.0
2900,3.0
2901,5.0
2987,1.0
3016,4.0
3093,3.0
3203,3.0
3244,3.0
1013,4.5
1103,5.0
1124,5.0
1185,5.0
1235,5.0
2454,3.5
2469,4.0
2485,3.5
2788,4.0
2803,4.0
2915,4.0
3072,4.5
3740,3.5
3869,4.0
8622,5.0
107,4.5
1225,1.0
1350,3.5
1792,4.0
1873,4.0
1982,2.5
2014,4.5
2329,3.5
2367,3.5
2378,4.0
2722,3.5
2858,1.0
3005,4.0
3247,4.5
3440,2.5
3968,3.0
4235,4.0
4973,0.5
5015,5.0
5572,4.5
253,3.0
293,4.0
318,4.0
356,3.5
527,4.0
539,4.0
1089,4.5
1682,3.5
2571,4.5
2959,5.0
36529,4.0
41569,3.0
44191,4.0
431,3.5
475,3.0
849,3.0
1022,3.0
1029,4.0
1061,3.5
1120,3.0
1343,3.0
1513,3.5
1953,3.5
1962,2.5
2150,3.5
2393,4.5
2427,3.0
2541,3.5
2605,4.0
2641,4.0
2694,2.5
3039,3.0
3703,5.0
169,1.0
260,3.0
362,4.0
870,3.0
969,4.0
1015,3.0
1129,2.0
1196,3.0
1198,4.0
1262,4.0
1270,4.0
1359,4.0
1580,5.0
1721,3.0
2042,2.0
2057,2.0
2394,4.0
2524,3.0
2574,4.0
2628,3.0
2694,2.0
2699,3.0
2716,3.0
2916,2.0
30,4.0
188,3.0
290,4.0
399,3.0
1034,4.0
1084,5.0
1152,5.0
1196,4.0
1221,5.0
1594,5.0
2146,2.0
2896,5.0
2959,5.0
3006,3.0
3498,5.0
3548,2.0
3549,3.0
204,4.0
2605,5.0
26996,3.5
145,4.5
158,2.5
163,3.5
520,3.0
552,3.5
836,3.0
1620,4.5
1722,4.0
1729,3.5
2006,4.0
2126,4.0
2278,4.0
2406,4.0
2471,3.5
2763,5.0
47,4.0
50,4.5
111,4.0
296,3.0
318,5.0
356,5.0
778,2.0
1089,5.0
1193,3.0
1198,0.5
1222,3.5
1704,3.0
2571,3.0
2762,3.5
2843,5.0
3147,5.0
711,3.5
1012,5.0
2018,4.0
2085,3.5
2398,4.0
3298,3.5
3396,3.5
3398,4.5
3624,3.5
3827,3.5
4270,3.0
4310,4.0
4326,4.5
6385,3.5
172,3.5
802,2.5
902,4.0
910,3.5
1120,4.0
1266,3.0
1287,3.5
1747,4.0
1748,4.0
1953,3.5
2395,3.5
2657,3.0
2968,3.5
3421,2.5
3911,3.5
193,2.0
231,5.0
379,4.0
637,2.0
1320,3.0
1801,3.0
2072,4.0
2378,3.0
2404,2.0
2411,4.0
2794,4.0
2840,1.0
3004,4.0
3752,4.0
260,1.0
318,3.0
1196,1.0
3000,4.5
4896,5.0
4993,5.0
5618,5.0
5816,5.0
7153,5.0
8368,5.0
31658,5.0
40815,5.0
110,5.0
1357,5.0
2087,5.0
2100,3.0
3072,4.0
3129,4.0
3889,3.0
3897,5.0
3911,5.0
3948,2.0
3953,4.0
24,3.0
1124,5.0
1298,5.0
3476,4.0
8622,5.0
85,5.0
199,2.0
307,5.0
506,5.0
527,4.0
838,5.0
1312,4.0
1519,5.0
1650,4.0
1683,5.0
1684,5.0
1724,5.0
1728,5.0
2304,4.0
2314,5.0
2318,4.0
2336,3.0
2357,5.0
2390,5.0
2396,4.0
2435,3.0
2436,5.0
2442,5.0
2502,1.0
2505,1.0
2539,1.0
2540,1.0
2544,5.0
2548,1.0
2560,1.0
2561,1.0
2566,1.0
2568,1.0
2570,4.0
2572,1.0
2575,5.0
2577,5.0
2580,2.0
2581,1.0
2589,2.0
2590,4.0
2594,4.0
2597,1.0
2599,3.0
2605,1.0
2606,1.0
2617,1.0
2620,3.0
2622,3.0
2629,3.0
1,1.0
47,4.0
50,4.5
208,1.5
260,0.5
329,4.0
356,4.0
480,1.5
551,3.5
902,4.0
1090,2.0
1196,0.5
1198,3.0
1233,2.0
1246,5.0
1270,4.0
1356,3.5
1391,1.0
1517,0.5
1645,4.0
1909,3.5
2340,3.5
2541,4.0
2571,5.0
2617,2.0
2706,4.5
2712,5.0
2858,5.0
3298,4.5
3409,3.0
3421,4.0
3578,1.5
3793,2.5
3994,3.5
4226,4.5
4306,2.0
4718,3.5
4878,5.0
4886,2.5
4896,3.0
4973,4.5
4993,1.0
5218,3.0
5349,2.5
5378,1.0
5418,3.5
5445,3.5
5459,3.0
5481,0.5
5618,4.5
5,3.0
7,3.0
17,5.0
32,3.0
36,5.0
64,2.0
74,3.0
140,3.0
141,3.0
260,3.0
613,5.0
637,3.0
648,3.0
662,3.0
704,3.0
736,3.0
780,3.0
786,3.0
788,2.0
799,2.0
836,3.0
838,4.0
842,5.0
858,4.0
1059,2.0
1105,5.0
1183,3.0
1357,5.0
1393,3.0
1416,2.0
107,5.0
168,3.0
260,4.0
318,4.0
593,3.0
673,2.0
838,3.0
1029,1.5
1059,4.0
1197,3.0
1198,5.0
1261,0.5
1287,2.5
1644,4.0
1711,5.0
1967,4.0
2003,3.0
2294,0.5
2407,1.0
2571,4.0
2724,3.5
2872,3.0
2959,5.0
5618,4.0
34532,5.0
19,1.0
235,3.0
376,3.5
432,4.0
594,3.0
750,5.0
920,3.5
1079,4.0
1208,4.0
1247,5.0
1304,4.5
1387,4.0
1394,5.0
2683,2.0
2710,4.0
3578,2.0
2052,5.0
2085,3.0
2581,5.0
3404,5.0
5991,5.0
7451,5.0
31433,5.0
36519,5.0
42011,5.0
69,3.5
204,4.0
1277,4.5
1372,4.0
1687,4.0
1722,3.5
1747,3.5
1918,3.5
2393,4.0
2405,3.0
2470,4.0
2605,3.0
3744,4.0
4041,4.0
4084,4.5
637,3.5
1269,3.5
1296,4.5
1953,4.0
2501,4.0
110,4.0
1270,5.0
1721,4.0
2028,4.0
2085,3.0
2410,3.0
2717,3.0
4310,3.0
4388,3.0
4519,5.0
5308,4.0
260,5.0
597,3.0
861,2.0
1088,3.0
1270,4.0
2519,3.0
2527,2.0
2628,5.0
4103,3.0
4544,2.0
4557,4.0
1,3.5
356,4.0
1197,3.5
5989,4.0
31658,4.5
33679,4.0
527,3.0
593,2.0
1196,4.0
1197,4.0
1270,4.0
1961,3.0
2028,3.0
2133,3.0
2363,4.0
2582,4.0
2625,4.0
2798,1.0
2997,3.0
4142,3.0
5445,4.0
5629,4.0
5650,5.0
5952,4.0
6156,4.0
6157,5.0
1,3.0
10,5.0
31,5.0
47,4.0
79,1.0
95,3.0
110,4.0
135,5.0
150,5.0
151,5.0
165,4.0
185,5.0
204,5.0
208,1.0
231,4.0
288,2.0
292,5.0
293,3.0
296,3.0
316,3.0
329,3.0
339,4.0
344,3.0
349,3.0
350,3.0
356,5.0
367,2.0
377,5.0
380,3.0
420,4.0
432,1.0
434,3.0
442,1.0
457,2.0
480,1.0
527,3.0
555,1.0
586,1.0
587,1.0
588,3.0
589,1.0
590,4.0
592,2.0
593,1.0
595,3.0
597,5.0
628,1.0
648,5.0
711,1.0
743,1.0
44,3.5
204,4.0
531,3.5
852,3.5
1185,3.5
1249,4.0
1372,4.0
1674,3.5
