movie,ratings
50,4.0
318,4.5
527,2.5
836,4.0
858,4.5
1203,4.5
1291,4.0
2115,4.0
2232,4.0
2329,2.5
2383,2.0
2409,2.0
2571,4.0
3146,2.5
4161,4.0
4226,4.0
5092,2.5
5445,4.0
6365,4.0
6373,3.5
6934,4.0
7323,4.0
8581,4.0
8866,3.0
8912,3.0
8977,3.0
26614,3.5
27482,4.0
32213,4.0
33004,4.0
43396,4.0
204,3.0
1198,5.0
2694,5.0
3039,5.0
3450,5.0
44,3.5
260,4.5
743,4.0
858,5.0
1538,4.0
2378,4.0
2379,4.5
2380,4.5
2571,5.0
3697,4.0
4030,4.5
4876,3.0
6595,2.5
8387,4.5
8640,3.5
63,4.0
296,4.5
839,3.0
1089,4.0
1359,3.5
1378,3.0
2109,2.0
2485,3.0
2805,3.5
3087,4.0
3273,3.0
3744,3.5
3752,3.5
4084,3.5
4161,3.5
6873,3.5
6874,4.0
32587,5.0
44665,3.5
43,4.0
111,5.0
223,3.0
233,3.0
913,5.0
968,3.0
1198,4.0
1885,3.0
1914,3.0
1956,4.0
1959,4.0
2013,3.0
2070,4.0
2147,2.0
2333,3.0
2336,3.0
2369,2.0
2390,3.0
2395,4.0
2396,5.0
2598,3.0
2599,4.0
2629,2.0
2669,3.0
2670,3.0
2706,3.0
2716,4.0
2723,2.0
2734,3.0
2758,3.0
2762,4.0
2770,3.0
2858,5.0
2987,3.0
2997,3.0
3114,4.0
3174,4.0
3384,3.0
3408,3.0
3499,3.0
3516,4.0
3543,4.0
3578,4.0
3606,3.0
3752,2.0
3789,5.0
3791,3.0
3792,4.0
3801,5.0
3808,5.0
520,2.5
1201,5.0
1204,4.0
1396,4.0
1997,4.0
2006,3.0
2470,2.0
2529,2.5
3101,3.0
3408,3.5
3448,3.5
3948,3.0
4027,4.5
6377,4.0
6874,4.0
370,2.5
466,3.0
628,4.5
913,3.5
1199,4.0
1358,4.5
1517,0.5
1653,5.0
1682,5.0
1917,1.5
2291,4.5
2324,5.0
2640,2.5
2712,4.0
3996,4.0
81,4.0
140,3.0
920,3.0
1042,4.0
1213,4.0
1221,5.0
1597,5.0
1617,5.0
3686,3.0
4007,4.0
65,2.5
531,3.0
1073,4.5
2297,1.5
2428,3.0
2596,3.0
2908,2.0
3275,5.0
3298,4.5
3565,1.0
3717,4.0
3786,3.0
4993,5.0
5364,4.0
5418,4.5
5816,4.5
5952,5.0
6886,2.5
6887,2.0
30793,1.0
33679,4.0
36527,4.5
11,4.0
25,3.0
58,4.0
260,5.0
265,3.0
356,5.0
366,1.0
527,4.0
807,4.0
858,3.0
879,1.0
1101,5.0
1196,4.0
1198,5.0
1204,5.0
1214,2.0
1221,3.0
1242,3.0
1265,3.0
1302,5.0
1387,3.0
1407,3.0
1408,4.0
1499,2.0
1645,4.0
1690,2.0
1717,3.0
1840,3.0
1888,4.0
1979,1.0
2001,3.0
2028,5.0
2167,2.0
2396,4.0
2424,4.0
2427,4.0
2428,1.0
2560,1.0
2571,2.0
3098,5.0
73,5.0
147,3.0
1416,1.0
1431,4.0
1873,5.0
1962,4.0
2371,4.5
2402,4.5
2410,4.5
2421,3.0
2478,3.0
2501,2.5
2860,4.0
3259,5.0
6565,4.5
50,4.0
353,5.0
541,5.0
1196,4.5
1198,4.0
1210,4.0
1291,3.5
16,5.0
50,5.0
490,3.0
593,5.0
733,5.0
832,4.0
1242,5.0
1249,4.0
1270,3.0
1407,3.0
1620,5.0
2058,4.0
2571,5.0
2762,3.0
2792,2.0
2840,5.0
3671,2.0
3919,3.0
193,2.5
308,2.5
381,4.0
1020,4.5
1172,4.0
1453,3.5
1907,3.0
2126,3.0
2382,4.0
2986,2.0
4487,4.5
5308,4.0
6238,4.0
27773,1.5
110,3.0
111,4.0
196,3.0
260,2.0
293,4.0
555,5.0
788,2.0
1193,4.0
1198,3.0
1221,3.0
1617,4.0
2688,3.0
4993,4.0
5060,4.0
5074,4.0
5400,3.0
5445,4.0
5650,3.0
362,3.0
575,4.0
631,3.0
1194,4.0
1334,5.0
1911,3.5
2318,5.0
2642,3.0
2720,3.0
2794,5.0
2949,4.5
3146,5.0
3461,5.0
6287,4.5
527,5.0
608,4.0
858,5.0
923,5.0
1221,5.0
1228,5.0
1247,5.0
2067,3.0
2078,3.0
2706,3.0
2710,4.0
2712,2.0
2763,3.0
2771,1.0
2804,4.0
2858,5.0
267,4.5
934,5.0
1566,5.0
2367,4.0
3646,4.5
3882,4.0
4054,3.5
6624,3.0
6958,4.0
7375,3.5
163,4.5
282,3.0
342,4.0
370,2.5
1094,4.0
1252,5.0
1288,3.0
1358,4.0
1380,2.0
1485,2.5
2406,2.5
2599,4.0
2640,4.0
3897,4.5
5060,4.5
260,3.0
1193,5.0
1956,4.0
1959,4.0
3502,5.0
3969,5.0
4022,4.0
4023,5.0
4025,2.0
4033,2.0
4034,4.0
4310,4.0
4370,4.0
22,3.0
163,2.0
172,2.0
186,1.0
466,3.5
784,3.0
1090,4.5
1094,4.5
1204,4.0
1288,5.0
1358,5.0
1639,4.5
2194,5.0
2406,3.0
2692,5.0
2699,2.5
2700,3.5
3897,4.0
5060,2.5
282,2.0
784,3.0
1090,3.5
1094,3.0
1252,4.0
1278,5.0
1288,4.0
1358,3.5
1500,2.5
2406,4.0
2640,3.5
3751,4.5
3897,4.0
180,3.5
223,3.5
1206,4.5
1639,3.0
1997,4.0
2692,3.5
2710,4.0
2858,4.5
2959,4.5
2997,4.0
3052,4.0
4734,1.5
4973,2.0
6016,5.0
6874,3.5
1,1.0
3,3.0
5,2.0
6,4.0
9,4.0
12,4.0
32,3.0
36,1.0
65,3.0
95,4.0
104,3.0
112,4.0
135,4.0
141,4.0
376,3.0
494,5.0
628,3.0
637,3.0
648,4.0
724,3.0
733,3.0
736,3.0
737,5.0
743,4.0
762,5.0
780,5.0
784,3.0
786,5.0
788,5.0
802,1.0
832,3.0
1073,1.0
163,3.5
296,4.0
361,4.0
839,5.0
858,5.0
1193,5.0
1213,5.0
1221,5.0
1431,1.0
2023,5.0
2053,0.5
2346,5.0
2642,0.5
2643,0.5
2826,3.0
2858,4.5
2959,4.5
2986,1.0
3155,4.5
3992,4.5
4148,4.5
4161,3.0
4823,1.0
4975,4.0
4995,5.0
5025,5.0
5608,4.5
5995,5.0
6222,5.0
6287,4.0
7254,3.0
8961,5.0
345,4.0
750,4.5
1172,4.0
1199,4.0
1212,4.0
1339,2.0
1952,4.0
2019,4.0
2160,3.5
2502,3.5
2657,4.0
2970,3.5
3052,3.5
3470,4.0
3755,2.0
3977,1.0
4027,4.0
4272,4.0
4642,3.5
4973,4.0
5299,3.0
5446,4.0
5876,4.0
5952,4.5
5954,3.0
6539,2.0
6711,2.5
6947,3.0
7063,4.5
7153,4.0
7323,3.5
7361,4.0
8373,3.0
8376,4.0
296,5.0
306,4.0
527,3.0
720,5.0
745,5.0
800,3.0
912,2.0
923,4.0
1148,5.0
1175,5.0
1196,4.0
1198,2.0
1214,2.0
1219,3.0
1252,5.0
1273,4.0
1411,2.0
1446,3.0
1641,2.0
1784,4.0
239,4.0
661,3.0
1013,4.0
1022,4.0
1282,4.0
2025,4.0
2078,4.0
2096,4.0
2145,2.5
2581,4.5
2687,3.0
2724,2.5
4366,3.5
4700,3.5
26614,3.5
31685,3.0
151,3.5
282,3.0
342,3.5
852,4.0
1230,3.0
1233,4.0
1246,3.5
1304,5.0
1374,3.5
1394,3.0
1917,4.0
2268,4.5
2291,4.0
3408,4.0
3996,5.0
4306,4.5
63,4.0
356,5.0
519,4.5
611,2.0
839,5.0
2382,5.0
2411,4.5
2808,4.5
2924,4.5
3328,4.0
3444,4.5
3534,3.0
3697,4.0
4226,4.0
5784,3.0
170,4.0
180,4.0
203,3.5
562,4.0
743,4.0
1378,3.5
1499,3.5
2109,4.0
2145,5.0
2707,3.0
2908,4.0
3148,4.5
3174,3.0
3263,3.0
3450,3.0
4019,4.5
356,5.0
455,3.0
1562,1.5
1917,4.5
2167,2.0
2294,2.5
2324,5.0
2407,2.0
2455,2.5
2571,5.0
2641,3.0
2724,2.5
2908,4.0
3082,3.0
3354,2.5
3578,5.0
3755,2.0
3863,3.5
3897,1.5
3996,4.5
4235,3.0
4270,3.0
4306,5.0
4367,4.0
4886,3.0
4973,4.0
4993,4.0
4995,5.0
5319,4.0
5418,2.0
5952,4.0
5989,4.0
5995,3.5
6365,1.5
6377,4.5
6539,4.0
6870,3.5
6874,4.5
6934,3.0
7153,5.0
7438,3.5
8638,2.5
8645,3.0
8665,2.5
8873,3.0
8961,3.5
30707,4.0
30749,5.0
32587,2.5
33166,2.0
293,4.5
318,5.0
347,3.0
595,2.0
1350,2.5
1580,4.0
1625,5.0
1644,2.5
1717,4.0
2126,2.5
2269,5.0
2366,0.5
3147,4.0
3649,2.5
3992,5.0
4223,4.5
4866,3.0
4886,4.0
4887,3.0
5316,4.0
5364,4.0
5639,2.0
6006,3.0
7308,0.5
7445,4.0
8644,4.0
26462,4.0
33679,4.0
39715,2.5
41285,4.5
372,4.0
431,4.0
849,3.0
1204,5.0
1228,5.0
1262,3.0
1479,2.5
1513,3.0
1962,3.5
2278,3.0
2541,2.5
2641,4.0
2746,3.5
3006,3.0
3082,3.0
8,3.0
12,3.0
19,5.0
44,4.0
62,3.0
141,4.0
216,3.0
267,4.0
344,5.0
393,4.0
648,5.0
653,4.0
711,1.0
733,5.0
736,4.0
743,3.0
761,3.0
786,5.0
688,3.5
799,4.0
1848,3.5
1892,3.0
2405,4.0
2662,2.0
5247,4.5
33615,3.5
376,4.0
471,4.0
653,3.5
750,2.0
920,5.0
1206,4.0
1233,3.5
1247,2.5
1258,2.5
